Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,,Actual Result Iteration 2,Status,Comments,Req: Reference
TC_Colour Trends_04,TS_Colour Trends_01,Colour Trends page should be displayed and accessible,"To validate that customer is able to view the current and past colours of the year after selecting the ""Colour of the year"". ",1.Click on the Colour of the Year option.,,It should displays the current and past colours of the year and its name.,It is displaying the current and past colours of the year and its name.,,,,,
TC_Colour Trends_05,TS_Colour Trends_01,Colour Trends page should be displayed and accessible,To validate that customer is able to view all the materials after selecting materials option.,1.Click on the Materials.                       ,,It should display all the materials.,User is able to view all the materials.,,,,,
TC_Colour Trends_06,TS_Colour Trends_01,Materials page should be displayed and accessible,To verify the category dropdown list for materials.,1.Select the category from dropdown list.                     ,"select = ""hard""",It should display the materials for selected category.,User is able to view materials for selected category.,,,,,
TC_Colour Trends_07,TS_Colour Trends_01,It should display Materials for selected category.,To verify the design directions dropdown list for materials. ,1.Select the design directions from dropdown list.                     ,"select = ""Goblin-mode""",It should display the materials for selected design directions.,User is able to view materials for selected design directions.,,,,,
TC_Colour Trends_08,TS_Colour Trends_01,Colour Trends page should be displayed and accessible,To validate that customer is able to view all the products after selecting products option . ,1.Click on the products.                       ,,It should display all the products.,It is displaying all the products.,,,,,
TC_Colour Trends_09,TS_Colour Trends_01,Products page should be displayed and accessible,To verify the category dropdown list for products.,1.Select the category from dropdown list.                     ,"select = ""Fabric""",It should display the products for selected category.,Customer is able to view the products for selected category.,,,,,
TC_Colour Trends_10,TS_Colour Trends_01,It should display Products for selected category.,To verify the design directions dropdown list for products.,1.Select the design directions from dropdown list.                     ,"select = ""Into-the-deep""",It should display the products for selected design directions.,Customer is able to view the products from selected design directions.,,,,,
TC_Blogs_01,TS_Blogs_01,Home page of Asian paints should be displayed and accessible,To validate that customer is able to explore latest home decor ideas & trends. ,"1.Hover on the ""inspiration"" option.                    2.Select the Blogs functionality.                ",,"

It should display latest home decor ideas and trends.","

It is displaying latest home decor ideas and trends.",,,,,
TC_Blogs_02,TS_Blogs_01,Blogs page should be displayed and accessible,To validate that customer is able to select the Category from below dropdown list.,1.Select the category from dropdown list.,,User should be able to view interior home ideas for selected category.,User is able to view interior home ideas for selected category.,,,,,
TC_Blogs_03,TS_Blogs_01,Blogs page should be displayed and accessible,To validate that customer is able to select the Waterproofing issues from below dropdown list.,1.Select the Waterproofing issues from dropdown list.,,User should be able to view interior home ideas for selected waterproofing issues.,User is able to view interior home ideas for selected waterproofing issues.,,,,,
TC_Blogs_04,TS_Blogs_01,Blogs page should be displayed and accessible,To validate that customer is able to select the Areas from below dropdown list.,1.Select the Areas from dropdown list.,,User should be able to view interior home ideas for selected areas.,User is able to view interior home ideas for selected areas.,,,,,
TC_Blogs_05,TS_Blogs_01,Blogs page should be displayed and accessible,To validate that customer is able to select the Surface from below dropdown list.,1.Select the Surface from dropdown list.,,User should be able to view interior home ideas for selected surface.,User is able to view interior home ideas for selected surface.,,,,,
TC_Blogs_06,TS_Blogs_01,Blogs page should be displayed and accessible,To validate that interior home images is clickable and on click it opens descriptive of the interior home design ideas.  ,1.Click on home decor images.,,User should be able to click on interior home images and visit descriptive of the interior home design ideas as per user choice.,User is able to click on interior home images and visit descriptive of the interior home design ideas as per user choice.,,,,,
TC_Guides_01,TS_Guides_01,"1.Home page of Asian paints should be displayed and accessible.
2.It should display the ""Guides page"".",To validate that Read more buttons is clickable.,"1.Hover on the ""inspiration"" option.                    2.Select the ""Guides"" functionality.               3.Click on ""Read more"" button.",,User should be able to click on Read more button and visit descriptive of guide page as per user choice.,User is able to click on Read more button and visit descriptive of guide page as per user choice.,,,,,
TC_Guides_02,TS_Guides_01,"""Guides page"" should be displayed and accessible",To validate that textbox is enable for chat.,1.Click on chat button.,,User should able to chat with customer care.,User is able to chat with customer care.,,,,,
TC_Guides_03,TS_Guides_01,"""Guides page"" should be in displayed and accessible",To validate that Kitchen button is clickable from Divisions section.,1.Click on Kitchen button.,,User should be navigated to Modular Kitchens and Wardrobe Designs  page.,User is navigating to Modular Kitchens and Wardrobe Designs  page.,,,,,
TC_Guides_04,TS_Guides_01,"""Modular Kitchens and Wardrobe Designs""  page should be displayed and accessible",To validate that customer is able to select kitchen designs from dropdown list after hovering on Kitchens option.,"1.Hover on ""Kitchens"" option.                          2.Select kitchen design.",,User should be able to click on Kitchen designs from dropdown list and view the descriptive of kitchen design as per user choice.,User is able to click on Kitchen designs from dropdown list and view the descriptive of kitchen design as per user choice.,,,,,
TC_Guides_05,TS_Guides_01,"""Kitchens Designs"" page should be displayed and accessible",To validate that customer is able to download catalogue for selected kitchens designs.,1.Click on download.,,Designer series brochure should get downloaded.,Designer series brochure is downloaded.,,,,,
TC_Guides_06,TS_Guides_01,"""Modular Kitchens and Wardrobe Designs""  page should be displayed and accessible",To validate that customer is able to select filter after selecting Inspiration option. ,1.Click on Inspiration option.                          2.Select Designs from dropdown list.,,It should display the kitchen designs.,User is able to view designs for kitchens.,,,,,
TC_Guides_07,TS_Guides_01,Inspiration page should be displayed and accessible,"To validate that ""View more blogs"" button is clickable for design.","1.Click on ""View more blogs"" button.",,It should display all blogs.,User is able to view all blogs,,,,,
TC_Guides_08,TS_Guides_01,All Blogs page should be displayed and accessible,To validate that customer is able to click on like icon after selecting kitchen designs.,1.Select designer kitchen.                         2.Click on like icon,,User should be able to click on like icon.,User is not able to click on like icon.,,User should be able to click on like icon.,Passed,,
TC_Guides_09,TS_Guides_01,Inspiration page should be displayed and accessible,"To validate that ""View more Videos"" button is clickable for testimonials. ","1.Select Testimonials from dropdown list.
2.Click on ""View more Videos"" button.",,It should displays all videos.,User is able to view all videos.,,,,,
TC_Regional Colours_01,TS_Regional Colours_01,Regional Colours page should be displayed and accessible,To validate that user is able to download the colour books from various regions of India.,"1.Hover on the ""inspiration"" option.                    2.Select the Regional Colours functionality.  
3.Click on colours book.                             ",,User should be able to download the colour books.,User is able to download the colour books.,,,,,
TC_Regional Colours_02,TS_Regional Colours_01,Regional Colours page should be displayed and accessible,To validate that user is able to click on Enquire now button.,1.Click on enquire now button.,,User should be navigated to Home Painting service page.,User is navigating to Home Painting service page.,,,,,
TC_Regional Colours_03,TS_Regional Colours_01,"""Home Painting service"" page should be displayed and accessible",To validate that cities are clickable.,1.Select the city.,,It should navigate to service page as per user choice.,It is navigating to service page as per user choice.,,,,,
TC_Where The Heart Is_01,TS_Where The Heart Is_01,Home page of Asian paints should be displayed and accessible,To validate that user is able to explore interior design styles inspired by celebrity home. ,"1.Hover on the ""inspiration"" option.                    2.Select the ""Where the Heart Is"" functionality.",,User should be able to explore interior design styles inspired by celebrity home. ,User is able to explore interior design styles inspired by celebrity home. ,,,,,
TC_Where The Heart Is_02,TS_Where The Heart Is_01,Where The Heart Is page  should be displayed and accessible,To validate that book an appoinment to get expert advise with valid credentials.,1.Enter your name.     2.Enter valid mobile number.                        3.Enter valid Pin code.                              4.Enter valid Email.,1. Vaidehi                             2.9045673874                                  3.442322                                           4.vaidehi@gmail.com,"It should give a message""Thank you!""","It is giving a message""Thank you!""",,,,,
TC_Where The Heart Is_03,TS_Where The Heart Is_01,Where The Heart Is page  should be displayed and accessible,To validate that username is invalid for book an appoinment.,1.Enter your name.     2.Enter valid mobile number.                        3.Enter valid Pin code.                              4.Enter valid Email.,"1. "" ""                             2.9045673874                                  3.442322                                           4.vaidehi@gmail.com","It should give an error message""Username is not valid / Field is required"".","It is giving an error message""Username is not valid / Field is required"".",,,,,It is giving+H42+E43
TC_Where The Heart Is_04,TS_Where The Heart Is_01,Where The Heart Is page  should be displayed and accessible,To validate that mobile number is invalid for book an appoinment.,1.Enter your name.     2.Enter invalid mobile number.                        3.Enter valid Pin code.                              4.Enter valid Email.,1.Vaidehi                                             2.95785                                                3.442322                                             4.vaidehi@gmail.com,"It should give an error message""Phone number is invalid"".","It is giving an error message""Phone number is invalid"".",,,,,
TC_Where The Heart Is_05,TS_Where The Heart Is_01,Where The Heart Is page  should be displayed and accessible,To validate that pincode is valid or invalid for book an appoinment. ,1.Enter your name.     2.Enter valid mobile number.                        3.Enter invalid Pin code.                              4.Enter valid Email.,1. Vaidehi                             2.9045673874                                  3.443                                          4.vaidehi@gmail.com,"It should give an error message""Enter a valid 6 digit Zip Code"".","It is giving an error message""Enter a valid 6 digit Zip Code"".",,,,,
TC_Where The Heart Is_06,TS_Where The Heart Is_01,Where The Heart Is page  should be displayed and accessible,To validate that email is valid or invalid for book an appoinment.,1.Enter your name.     2.Enter valid mobile number.                        3.Enter valid Pin code.                              4.Enter invalid Email.,1. Vaidehi                             2.9045673874                                  3.442322                                           4.vaidehigamil.com,"It should give an error message""Email is invalid"".","It is giving an error message""Email is invalid"".",,,,,
TC_Where The Heart Is_07,TS_Where The Heart Is_01,Where The Heart Is page  should be displayed and accessible,To validate that Watch Episode button is clickable.,1.Click on Watch Episode button,,User should be able to click on Watch Episode button and get the celebrities home designs ideas.,User is able to click on Watch Episode button and get the celebrities home designs ideas.,,,,,
